ERCC-00002	408347
ERCC-00003	24278
ERCC-00004	92433
ERCC-00009	17219
ERCC-00012	1
ERCC-00013	20
ERCC-00014	137
ERCC-00016	3
ERCC-00017	1
ERCC-00019	416
ERCC-00022	3352
ERCC-00024	2
ERCC-00025	2709
ERCC-00028	121
ERCC-00031	45
ERCC-00033	119
ERCC-00034	329
ERCC-00035	1912
ERCC-00039	64
ERCC-00040	13
ERCC-00041	2
ERCC-00042	9826
ERCC-00043	17448
ERCC-00044	3516
ERCC-00046	43921
ERCC-00048	0
ERCC-00051	161
ERCC-00053	754
ERCC-00054	49
ERCC-00057	0
ERCC-00058	53
ERCC-00059	211
ERCC-00060	5444
ERCC-00061	5
ERCC-00062	1533
ERCC-00067	42
ERCC-00069	86
ERCC-00071	928
ERCC-00073	18
ERCC-00074	204513
ERCC-00075	2
ERCC-00076	2680
ERCC-00077	16
ERCC-00078	792
ERCC-00079	948
ERCC-00081	0
ERCC-00083	3
ERCC-00084	806
ERCC-00085	100
ERCC-00086	6
ERCC-00092	5426
ERCC-00095	1983
ERCC-00096	410365
ERCC-00097	13
ERCC-00098	4
ERCC-00099	562
ERCC-00104	14
ERCC-00108	16499
ERCC-00109	4
ERCC-00111	11473
ERCC-00112	3859
ERCC-00113	73409
ERCC-00116	20406
ERCC-00117	0
ERCC-00120	1
ERCC-00123	13
ERCC-00126	202
ERCC-00130	584959
ERCC-00131	2368
ERCC-00134	3
ERCC-00136	36676
ERCC-00137	5
ERCC-00138	8
ERCC-00142	6
ERCC-00143	86
ERCC-00144	169
ERCC-00145	16181
ERCC-00147	18
ERCC-00148	94
ERCC-00150	61
ERCC-00154	66
ERCC-00156	5
ERCC-00157	286
ERCC-00158	14
ERCC-00160	279
ERCC-00162	582
ERCC-00163	220
ERCC-00164	10
ERCC-00165	999
ERCC-00168	20
ERCC-00170	290
ERCC-00171	43354
